 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
188.185.208.98 - - [26/Apr/2019 11:51:44] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:44] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:48] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:49] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:49] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:50] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:50] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:51:50] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:50] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:50] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:50] "GET /favicon.ico HTTP/1.1" 404 -
188.185.208.98 - - [26/Apr/2019 11:51:51] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:52] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:52] "GET /tick HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:53] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:54] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:56] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:56] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:56] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:56] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:56] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:57] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:51:58] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:58] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:58] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:51:58] "GET /favicon.ico HTTP/1.1" 404 -
188.185.208.98 - - [26/Apr/2019 11:52:01] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:01] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:07] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:08] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:10] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:10] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:10] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:11] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:12] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:12] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:12] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:13] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /static/style.css HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /static/script.js HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:14] "GET /favicon.ico HTTP/1.1" 404 -
128.141.174.10 - - [26/Apr/2019 11:52:15] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:15] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:52:15] "GET /? HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:18] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:19] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:22] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:22] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:26] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:27] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:33] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:34] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:35] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:35] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:42] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:42] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:43] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:43] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:50] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:50] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:51] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:52:51] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:52:59] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:53:00] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:03] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:03] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:53:09] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:53:10] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:53:10] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:53:11] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:53:11] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:53:12] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:12] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:13] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:53:18] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:53:19] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:23] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:23] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:53:27] "POST /update HTTP/1.1" 200 -
188.185.136.25 - - [26/Apr/2019 11:53:28] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:34] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:53:34] "POST /update HTTP/1.1" 200 -
